Tree;Competition;Fertilizer;Height0;Height5;Diameter0;Diameter5
1;NC;F;15;60;1.984375;7.4
2;NC;F;9;45.2;1.190625;5.2
3;NC;F;12;42;1.7859375;5.7
4;NC;F;13.7;49.5;1.5875;6.4
5;NC;F;12;47.3;1.5875;6.2
6;NC;F;12;56.4;1.5875;7.4
7;NC;NF;16.8;43.5;1.984375;4.9
8;NC;NF;14.6;49.2;1.984375;5.4
9;NC;NF;16;54;1.984375;7.1
10;NC;NF;15.4;45;1.984375;5.1
11;NC;NF;11.7;38;1.3890625;4.1
12;NC;NF;15;60.5;1.5875;7.3
13;C;F;13.1;45.4;1.984375;6.3
14;C;F;11;50;1.5875;6.2
15;C;F;16;53;2.1828125;5.6
16;C;F;13.5;54;1.5875;6.3
17;C;F;11.6;39;1.5875;4.5
18;C;F;13.5;54.2;1.984375;6.5
19;C;NF;13.2;28.3;1.5875;3.4
20;C;NF;15.8;29.5;2.38125;3.4
21;C;NF;13.5;42;1.7859375;4.6
22;C;NF;13.4;29;1.984375;4.2
23;C;NF;12.5;31;1.984375;3.5
24;C;NF;14.7;38;1.984375;4.7
25;NC;F;11.5;63;1.984375;8.7
26;NC;F;13.7;64.5;1.7859375;8.4
27;NC;F;18.7;58.3;1.984375;7.1
28;NC;F;15.8;66.2;1.5875;9.1
29;NC;F;17.5;62.2;1.984375;8
30;NC;F;15;63;1.7859375;8.9
31;NC;NF;17;53;1.984375;6.9
32;NC;NF;14.2;46.2;1.5875;4.9
33;NC;NF;11.2;41.4;1.5875;4.3
34;NC;NF;16.7;36.2;1.984375;4.8
35;NC;NF;12.5;46.9;1.5875;5.2
36;NC;NF;15.2;43.5;1.984375;5.8
37;C;F;15.5;43;1.984375;7.1
38;C;F;13.7;43.2;1.984375;5.9
39;C;F;17.8;48;1.984375;6.4
40;C;F;12.8;41;1.5875;6.3
41;C;F;15;46;2.38125;5.7
42;C;F;15;45.5;1.984375;6
43;C;NF;14;40;1.7859375;4.3
44;C;NF;15.7;24;1.7859375;3.7
45;C;NF;15.1;37.1;1.5875;4.3
46;C;NF;14;30;1.984375;4.3
47;C;NF;14.6;35;1.984375;3.9
48;C;NF;16;37;1.984375;4.1
49;NC;F;17;68;2.38125;11.3
50;NC;F;17.3;56;1.7859375;9.4
51;NC;F;18.2;68;2.38125;8.9
52;NC;F;15;55.4;1.984375;8.7
53;NC;F;15.3;62;2.1828125;8.7
54;NC;F;17;48.6;2.38125;8.1
55;NC;NF;16;45;1.984375;6.5
56;NC;NF;16.4;43.5;1.984375;5.1
57;NC;NF;14.8;37.7;2.38125;4.3
58;NC;NF;12;40;1.7859375;4.7
59;NC;NF;14.5;40.5;1.7859375;5.2
60;NC;NF;17.1;35;2.38125;4.9
61;C;F;14.3;52;2.38125;6.7
62;C;F;12.5;64;1.984375;9
63;C;F;14.7;50;2.38125;7
64;C;F;16.3;46.2;2.1828125;6.8
65;C;F;16.2;47;2.38125;7.8
66;C;F;17.5;47;2.38125;6.6
67;C;NF;16.2;24.7;1.984375;3.3
68;C;NF;11.3;26.4;1.5875;2.7
69;C;NF;17.5;36;1.984375;3.8
70;C;NF;13.3;24.4;1.7859375;3.5
71;C;NF;11;27.2;2.38125;4
72;C;NF;14.6;33.6;2.38125;4.5
